filename,title,date,size,medium,status,category
andes_2021.webp,Andes,2021,A4,Ink on Paper,CHF 300,unique
complemento_2021.webp,Complemento,2021,A4,Ink on Paper,CHF 500,unique
flor_2021.webp,Flor,2021,A5,Ink on Paper,SOLD,unique
infinity_2021.webp,Infinity,2021,A5,Ink on Paper,CHF 500,unique
lluvia_2021.webp,Lluvia,2021,A5,Ink on Paper,SOLD,unique
mdq_2021.webp,MDQ,2021,A5,Ink on Paper,SOLD,unique
plenitud_2021.webp,Plenitud,2021,A5,Ink on Paper,SOLD,unique
rio_jachal_2021.webp,Río Jáchal,2021,A5,Ink on Paper,CHF 500,unique
sq_bastos_2022.webp,Bastos,2022,20x20cm,Ink on Paper,CHF 390,unique
sq_cinco_de_oro_2022.webp,Cinco De Oro,2022,20x20cm,Ink on Paper,CHF 390,unique
sq_cuatro_de_copas_2022.webp,Cuatro De Copas,2022,20x20cm,Ink on Paper,CHF 390,unique
